한국명,영문명,기존 추천,재검수 최종,판정,검수 메모
증오,Abomination,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
크로우장군,Admiral Claw,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,수정,Prospector End Game + Fastidious End Game 1순위가 Soulbound Arcana로 일치. Fastidious Stage 3 Cataclysm은 대안으로 유지.
아레스,Ares,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
오만,Arrogance,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,수정,Prospector End Game + Fastidious End Game 1순위가 Soulbound Arcana로 일치. Cataclysm은 동급 품질 대안.
아스트레이,Astrael,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
아젤,Azhor,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
바론,Baron,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,수정,Prospector End Game + Fastidious Stage 3가 Astral Guardian + Unshaken Will로 일치.
바예크,Bayek,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,유지-자료제한,최신 한쪽 자료는 현재 세팅을 지지하지만 양쪽 모두의 완전한 세트 데이터가 부족해 기존 추천 유지.
디몽,Daemon,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
데모스,Deimos,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
반헬싱,Dr. Van Helsing,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
