id,한국명,영문명,기존 recommendedArtifact,추천 아티팩트 한국명,추천 아티팩트 영문명,검수 기준
laya,라야,Laya,,황금 풍뎅이,Golden Scarab,Fastidious 1순위
ingrid,잉그리드,Ingrid,,황혼의 눈물,Tear of Twilight,Fastidious 1순위
ain,아인,Ain,,포효의 머리뼈,Wailing Skull,Fastidious 1순위
borut,브루트,Borut,,난폭한 마스크,Lunacy Visor,Fastidious 1순위
regulus,레굴라스,Regulus,,보루의 반지,Bastion Ring,Fastidious 1순위
diaochan,초선,DiaoChan,,승평·봉화불,Phoenix Feather Fan,Fastidious 1순위
crach,크레시,Crach,,주조된 톱니바퀴,Molten Cog,Fastidious 1순위
eirlys,에일리스,Eirlys,,황금 풍뎅이,Golden Scarab,Fastidious 1순위
eunomia,유노미아,Eunomia,,낙원의 찬가,Elysian Epitaph,Fastidious 1순위
alaura,엘로라,Alaura,,사신의 표식,Reaper's Emblem,Fastidious 1순위
constance,콘스탄스,Constance,,신성한 예찬문,Astral Obelisk,Fastidious 1순위
alistair,오리스테,Alistair,,황혼의 눈물,Tear of Twilight,Fastidious 1순위
kigiri,키기리,Kigiri,,악귀의머리,Demonic Relic,Fastidious 1순위
lucius,루시우스,Lucius,,망령술사의 손가락,Blightcaller's Claw,Fastidious 1순위
aeris,아에리스,Aeris,,포효의 머리뼈,Wailing Skull,Fastidious 1순위
calista,카리스타,Calista,,불멸의에드라크,Helm of Yalnor,Fastidious 1순위
talin,타린,Talin,,꽃의수호자,Blackbark Pauldrons,Fastidious 1순위
edith,에디스,Edith,,보루의 반지,Bastion Ring,Fastidious 1순위
sun-wukong,손오공,Sun Wukong,,여의봉,Golden Cudgel,Fastidious 1순위
ne-zha,나타,Ne Zha,,화첨창,Fire-Tipped Spear,Fastidious 1순위
guan-yu,관우,Guan Yu,,청룔언월도,Green Crescent Blade,Fastidious 1순위
draelyn,드레린,Draelyn,,자비의 강철연꽃,Ironbloom of Mercy,Fastidious 1순위
ezio-auditore,에지오 아디토레,Ezio Auditore,,아디토레 암살검,Auditore Blade,Fastidious 1순위
eivor-varinsdottir,에이보르,Eivor Varinsdottir,,바린의 도끼,Varin's Axe,Fastidious 1순위
kassandra,카산드라,Kassandra,,레오니다스의 창,Spear of Leonidas,Fastidious 1순위
dane,어둠의총사데인,Dane,,격노의 분출자,Hate's Contagion,Fastidious 1순위
cainan,카이난,Cainan,,사죄자,Absolution,Fastidious 1순위
brienne,브레이니,Brienne,,가드리엘의 응시,Idril's Gaze,Fastidious 1순위
soleil,소레일,Soleil,,황혼의 눈물,Tear of Twilight,Fastidious 1순위
cyrene,셀레니,Cyrene,,난폭한 마스크,Lunacy Visor,Fastidious 1순위
lightlocke,라트로크,Lightlocke,,낙원의 찬가,Elysian Epitaph,Fastidious 1순위
livian,리비안,Livian,,보루의 반지,Bastion Ring,Fastidious 1순위
dalyn,달린,Dalyn,,난폭한 마스크,Lunacy Visor,Fastidious 1순위
meriel,메리엘,Meriel,,보루의 반지,Bastion Ring,Fastidious 1순위
aveline,에블린,Aveline,,보루의 반지,Bastion Ring,Fastidious 1순위
idril,가드리엘,Idril,,가드리엘의 응시,Idril's Gaze,Fastidious 1순위
eona,이오나,Eona,,황혼의 눈물,Tear of Twilight,Fastidious 1순위
rex,렉스,Rex,,보루의 반지,Bastion Ring,Fastidious 1순위
niro,네로,Niro,,황혼의 눈물,Tear of Twilight,Fastidious 1순위
camille,카미엘,Camille,,낙원의 찬가,Elysian Epitaph,Fastidious 1순위
