한국명,영문명,직업,희귀도,작업상태,최종 추천장비,권장옵션/메모,출처
오렌,Oren,전사,전설,신규 반영,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 최고 중재자(Supreme Arbiters) 엔드게임 전수검수: Prospector.gg End Game 직접 검증
플레트스,Praetus,마법사,전설,신규 반영,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 최고 중재자(Supreme Arbiters) 엔드게임 전수검수: Prospector.gg End Game 직접 검증
에릴시아,Elysia,전사,에픽,신규 반영,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 최고 중재자(Supreme Arbiters) 엔드게임 전수검수: Prospector.gg End Game 직접 검증
바크라,Valkyra,전사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
펠라기우스,Pelagios,궁수,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
젤라,Jeera,전사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.","2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
유노미아,Eunomia,힐러,전설,기존 검수값 보존,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과.","2026-09-17 엔드게임 기준 재정리: Fastidious.gg 중심, Prospector/HellHades 보조 교차검증"
발레리아,Valara,전술마스터,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
알렉산드라부인,Lady Alexandra,궁수,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
카드그림,Khadgrim,수호자,전설,기존 검수값 보존,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복.","2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
콘스탄스,Constance,수호자,전설,기존 검수값 보존,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과.","2026-09-17 엔드게임 기준 재정리: Fastidious.gg 중심, Prospector/HellHades 보조 교차검증"
탈렌,Thallen,전사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
오리스테,Alistair,마법사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 엔드게임 기준 재정리: Fastidious.gg 중심, Prospector/HellHades 보조 교차검증"
잉그리드,Ingrid,마법사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.","2026-09-17 엔드게임 기준 재정리: Fastidious.gg 중심, Prospector/HellHades 보조 교차검증"
케인,Kane,전사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
이랑신,Erlang Shen,수호자,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
이니트,Init,마법사,전설,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
