한국명,영문명,기존 추천,v2.14.5 추천,검수 기준
아인,Ain,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
카이난,Cainan,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
셀레니,Cyrene,질풍 (Whirlwind) 세트 + 마력 (Mana Spring) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
달린,Dalyn,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,2026-09-18 나만겜 실전 검수: 엔드 콘텐츠 생존 기준 HP 보너스 중심 세팅
어둠의총사데인,Dane,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
드레린,Draelyn,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
잉그리드,Ingrid,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
카산드라,Kassandra,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
메리엘,Meriel,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
렉스,Rex,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
손오공,Sun Wukong,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
타린,Talin,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,2026-09-18 파수꾼 소대 추천 장비 재전수검수: Prospector.gg End Game + Fastidious.gg 교차검증
