한국명,영문명,ID,재검수 판정,기존 추천,최종 추천,검수 메모
에드린,Aedrin,aedrin,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 재앙 드래곤 (Cataclysm) 세트,성흔의 수호 (Astral Guardian) 세트 + 재앙 드래곤 (Cataclysm) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
엘,Ai,ai,유지(자료 차이),악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
아키라,AkiraStar,akirastar,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
알다이야,Ardea,ardea,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
아스트레이,Astrael,astrael,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
에블린,Aveline,aveline,유지,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,재검수 후 기존 추천 유지
포레스,Boreas,boreas,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
브로켈,Brokkir,brokkir,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
브루노,Brunor,brunor,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
카시르,Cassiel,cassiel,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
