id,한국명,영문명,기존추천,범용추천,후반_졸업,권장옵션,검수메모
aeris,아에리스,Aeris,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","범용은 안정적으로 궁극기 누적 피해를 올리고, 후반에는 재앙 드래곤의 중첩을 유지할 수 있으면 기대값이 높습니다."
ain,아인,Ain,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",다단 기본 공격 비중이 높아 영혼의 비밀보다 마수의 포효를 우선하는 실전 빌드가 확인됩니다.
alaura,엘로라,Alaura,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",후반에는 재앙 드래곤의 중첩 유지가 가능한 장비 품질일 때 교체합니다.
alistair,오리스테,Alistair,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","범용은 영혼의 비밀, 후반 고품질 세팅은 악의 복수와 재앙 드래곤 조합이 확인됩니다."
aveline,에블린,Aveline,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복","범용은 생존과 가드 안정성을 우선하고, 후반에는 성흔의 수호와 불멸의 의지로 최대 체력 유지력을 끌어올립니다."
borut,브루트,Borut,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,,"공격력%, 치명타율, 공격 속도, 치명타 피해",현재 해외 DB에 별도 단계별 졸업 빌드가 없어 검증된 범용 추천만 표기합니다.
brienne,브레이니,Brienne,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",현재 단계별 빌드에서는 기본 공격 강화와 궁극기 연타를 살리는 마수의 포효가 일관되게 사용됩니다.
cainan,카이난,Cainan,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","범용은 영혼의 비밀, 후반에는 재앙 드래곤 중첩 유지가 가능한 장비 품질일 때 교체합니다."
calista,카리스타,Calista,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",범용과 후반 세팅을 성장 단계에 맞춰 분리했습니다.
camille,카미엘,Camille,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트,빛의 은혜 (Light's Grace) 세트 + 불멸의 의지 (Unshaken Will) 세트,"공격 속도, HP%, 치유 효과, 분노 회복","범용 추천은 신성한 영혼의 아군 공격 지원을 활용하고, 후반 생존형은 빛의 은혜와 불멸의 의지를 사용합니다."
