id,한국명,영문명,기존추천,최종추천,권장옵션,검수메모
anai,아나이,Anai,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",화상 유지형 마법 딜러지만 최종 장비 기준으로는 재앙 드래곤 중첩을 활용한 치명타 세팅이 가장 안정적입니다.
autumn,오드무,Autumn,,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 분노 회복, HP%, 공격력%",오드무는 직접 딜보다 치명타율·치명타 피해 버프의 빠른 재사용이 핵심이므로 공격 속도와 분노 회복을 우선하고 성스러운 날개로 파티 지원을 더합니다.
aylin,에일린,Aylin,,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, 공격 속도, 치유 효과, 분노 회복",최종 힐러 세팅은 치유와 분노 회복을 챙기면서 성스러운 날개로 핵심 딜러 공격력까지 지원하는 조합입니다.
azzoth,아토스,Azzoth,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",치명타 의존도가 높은 영웅이라 악의 복수와 재앙 드래곤의 시너지가 좋습니다.
brunor,브루노,Brunor,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존 북쪽 경계 검수에서 확정한 최종 치명타 딜 세팅을 유지합니다.
cainan,카이난,Cainan,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존 파수꾼 검수에서 확정한 최종 세팅을 유지합니다.
diaochan,초선,DiaoChan,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, 공격 속도, 치유 효과, 분노 회복",초선은 공격력 기반 치유와 아군 공격 지원을 함께 활용하므로 성스러운 날개가 최종 추천입니다.
dolores,델로레스,Dolores,,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, 분노 회복, HP%, 공격 속도","델로레스의 핵심은 영감 버프이므로 공격력을 최대한 확보하고 궁극기 회전을 챙기며, 최종 세팅은 성스러운 날개를 사용합니다."
ferssi,페르시,Ferssi,,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, 공격 속도, 치유 효과, 분노 회복",AoE 피해 감소와 영감 지원을 함께 제공하는 힐러라 최종 단계에서는 빛의 은혜와 성스러운 날개 조합이 가장 안정적입니다.
gretchen,그레첸,Gretchen,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",연옥 영주 아래에서 운용하는 일반 최종 세팅은 진영 전용 재앙 드래곤 조합이 가장 좋습니다. 카오스 영주 아래 저체력 운용에서는 마수의 포효가 강한 대안입니다.
gu-shi,고결,Gu Shi,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","연옥 영주 아래에서는 진영 전용 재앙 드래곤이 가장 높은 최종 효율을 보이며, 높은 공격 속도로 수련 단계 상승을 빠르게 만드는 것이 중요합니다."
gul-drak,굴드락,Gul'Drak,,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"치명타율, 치명타 피해, 공격 속도, 공격력%",굴드락은 궁극기 폭딜과 출혈 압박 비중이 높아 최종 단계에서 지옥 비명이 우선됩니다.
hex,헥스,Hex,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",현재 최종 단계에서는 재앙 드래곤을 사용하는 치명타 기반 세팅이 가장 안정적입니다.
