id,한국명,영문명,기존추천,최종추천,권장옵션,검수메모
abyss,아비스,Abyzou,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",아비스의 공식 영문명은 Abyzou로 교정했습니다. 최종 딜 세팅은 악의 복수와 재앙 드래곤 조합입니다.
aeon,이안,Aeon,,질풍 (Whirlwind) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 분노 회복, HP%, 방어력%","딜보다 취약 효과와 끌어당김, 궁극기 회전이 핵심이라 공격 속도·분노 순환과 파티 지원을 우선합니다."
anora,아노라,Anora,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",최종 단계에서는 치명타 기반 재앙 드래곤 중첩을 활용하는 세팅이 가장 안정적입니다.
artemis,아르테미스,Artemis,,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 치유 효과, 분노 회복",힐러 역할을 기준으로 치유·분노 회복과 성스러운 날개의 파티 공격 지원을 함께 가져갑니다. 순수 딜 세팅은 상황별 대안입니다.
atrox,아테로크스,Atrox,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",자해형 전사라 생존보다 기본 공격과 폭딜 효율을 우선하며 마수의 포효가 엔드게임 핵심입니다.
aurelius-gale,아우렐리우스,Aurelius Gale,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",현재 Fastidious 최종 단계 기준으로 악의 복수 + 재앙 드래곤 조합이 확인됩니다.
beatrix,베아트릭스,Beatrix,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",소환 딜러지만 최종 단계에서는 본체와 소환물 피해를 함께 끌어올리는 재앙 드래곤 조합이 사용됩니다.
beelzebub,바알세불,Beelzebub,,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, 공격 속도, 분노 회복, HP%",순수 딜러보다 영감·감속·마법 취약을 제공하는 지원형 가치가 높아 성스러운 날개를 최종 추천으로 둡니다.
captain-reve,리프선장,Captain Reve,,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",최종 단계에서는 생존과 자가 회복을 극대화하는 성흔의 수호 + 불멸의 의지가 가장 안정적입니다.
carnelian,카헬리안,Carnelian,,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 치유 효과, 분노 회복","공격 속도가 핵심이며, 후반에는 성스러운 날개로 치유와 파티 공격 지원을 함께 확보하는 세팅이 확인됩니다."
carosa,카로사,Carosa,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",마법 딜러의 엔드게임 기준으로 치명타 피해와 재앙 드래곤 중첩을 우선합니다.
cerberus,세브로스,Cerberus,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"치명타율, 공격 속도, 치명타 피해, HP%",자해형 광역 딜러라 생존을 과도하게 챙기기보다 재앙 드래곤을 통한 최종 피해 기대값을 우선합니다.
cyrene,셀레니,Cyrene,질풍 (Whirlwind) 세트 + 마력 (Mana Spring) 세트,질풍 (Whirlwind) 세트 + 마력 (Mana Spring) 세트,"공격 속도, 분노 회복, HP%, 방어력%",코스트와 궁극기 순환이 핵심이라 질풍 + 마력 조합을 유지합니다.
dahlia,달리아,Dahlia,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",최종 단계에서는 재앙 드래곤 중첩을 유지하는 치명타 기반 세팅이 가장 좋습니다.
demi,데미,Demi,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",현재 Fastidious의 최종 단계는 악의 복수 + 재앙 드래곤으로 확인됩니다. 이전에 지옥 비명을 정답처럼 본 판단은 이번 재검수에서 교정했습니다.
durza,두르가,Durza,,질풍 (Whirlwind) 세트 + 마력 (Mana Spring) 세트,"공격 속도, 분노 회복, HP%, 방어력%",두르가는 직접 딜보다 공격 속도·분노·영감 지원 가치가 커서 질풍 + 마력으로 궁극기 회전을 최우선합니다.
elukas,우르카스,Elukas,,전쟁의 주인 (Warlord) 세트 + 마력 (Mana Spring) 세트,"공격 속도, 분노 회복, HP%, 방어력%",레어 영웅이지만 최고 활용 기준에서는 감속과 궁극기 순환을 위해 공격 속도와 분노 회복을 우선합니다.
