id,한국명,영문명,직업,기존/신규,추천 장비,권장 옵션,검수 메모,검수 출처
aeris,아에리스,Aeris,전사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","권장 옵션: 공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 엔드게임 기준 재정리: Fastidious.gg 중심, Prospector/HellHades 보조 교차검증"
ai,엘,Ai,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",치명타 기반의 최종 피해 세팅으로 정리했습니다.,"2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
anora,아노라,Anora,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",최종 단계에서는 치명타 기반 재앙 드래곤 중첩을 활용하는 세팅이 가장 안정적입니다.,"2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
ardeth,알더스,Ardeth,수호자,v2.13.7 신규,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",최종 단계 수호자 빌드에서 HP·방어 생존을 극대화하는 조합이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
beatrix,베아트릭스,Beatrix,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",소환 딜러지만 최종 단계에서는 본체와 소환물 피해를 함께 끌어올리는 재앙 드래곤 조합이 사용됩니다.,"2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
boreas,포레스,Boreas,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",마법 딜러 엔드게임 기준으로 치명타 피해와 지속 피해 증가를 함께 노립니다.,"2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
clarissa,클라리사,Clarissa,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",최종 단계에서 악의 복수와 재앙 드래곤 조합이 직접 확인되며 치명타 기반 누적 화력을 가장 안정적으로 끌어올립니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
cyclone,세크론,Cyclone,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기본 공격 비중이 높은 근접 전사라 마수의 포효로 평타 피해를 직접 강화하는 최종 단계 조합을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
cyrus,키로스,Cyrus,수호자,v2.13.7 신규,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",최종 단계에서 성흔의 수호와 불멸의 의지가 직접 제시되며 HP·방어 중심으로 버티는 수호자 운용에 맞습니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
dahlia,달리아,Dahlia,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",최종 단계에서는 재앙 드래곤 중첩을 유지하는 치명타 기반 세팅이 가장 좋습니다.,"2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
