nameKr,nameEn,class,rarity,lord,status,gear,recommended_options,source
가안,Ghan,수호자,전설,Y,기존 검수값 보존,강철 의지 세트,,
와엘드론,Valderon,전사,전설,Y,신규 반영,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해입니다.",2026-09-17 혼돈 정복자(Chaos Dominion) 엔드게임 전수검수: Prospector.gg + Fastidious.gg 교차검증
지제벨,Jezebelle,궁수,전설,Y,신규 반영,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"치명타율, 공격 속도, 치명타 피해, HP% 순으로 봅니다.",2026-09-17 혼돈 정복자(Chaos Dominion) 엔드게임 전수검수: Fastidious.gg + Prospector.gg 교차검증
블라도프,Vladov,전사,에픽,Y,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.",2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
루가르,Lugaru,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.",2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
다스미,Dassomi,힐러,전설,N,기존 검수값 보존,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, HP%, 치유 효과, 분노 회복.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
발레리야,Valeriya,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
세브로스,Cerberus,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"치명타율, 공격 속도, 치명타 피해, HP%.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
지젤,Gisele,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
카에드,Kaede,마법사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
