id,한국명,영문명,기존 recommendedArtifact,추천 아티팩트 한국명,추천 아티팩트 영문명
aedrin,에드린,Aedrin,,서리포식자,Frost Devourer
ai,엘,Ai,,황혼의 눈물,Tear of Twilight
akirastar,아키라,AkiraStar,,머신코어,Mech Core
ardea,알다이야,Ardea,,잊혀진 옛검,Shattered Hilt
astrael,아스트레이,Astrael,,습격자,Dwarven Strider
aveline,에블린,Aveline,"{""nameKr"": ""보루의 반지"", ""nameEn"": ""Bastion Ring"", ""krVerified"": true, ""source"": ""2026-09-18 Fastidious.gg 1순위 추천 + 사용자 한국 공식명 확인""}",보루의 반지,Bastion Ring
boreas,포레스,Boreas,,끝없는 겨울,Eternal Winter
brokkir,브로켈,Brokkir,,보루의 반지,Bastion Ring
brunor,브루노,Brunor,,사신의 표식,Reaper's Emblem
cassiel,카시르,Cassiel,,잊혀진 옛검,Shattered Hilt
dagna,다그나,Dagna,,보루의 반지,Bastion Ring
draelyn,드레린,Draelyn,"{""nameKr"": ""자비의 강철연꽃"", ""nameEn"": ""Ironbloom of Mercy"", ""krVerified"": true, ""source"": ""2026-09-18 Fastidious.gg 1순위 추천 + 사용자 한국 공식명 확인""}",자비의 강철연꽃,Ironbloom of Mercy
eirlys,에일리스,Eirlys,"{""nameKr"": ""황금 풍뎅이"", ""nameEn"": ""Golden Scarab"", ""krVerified"": true, ""source"": ""2026-09-18 Fastidious.gg 1순위 추천 + 사용자 한국 공식명 확인""}",황금 풍뎅이,Golden Scarab
eivor-varinsdottir,에이보르,Eivor Varinsdottir,"{""nameKr"": ""바린의 도끼"", ""nameEn"": ""Varin's Axe"", ""krVerified"": true, ""source"": ""2026-09-18 Fastidious.gg 1순위 추천 + 사용자 한국 공식명 확인""}",바린의 도끼,Varin's Axe
elddr,에르드,Elddr,,겁쟁이의 용기,Talisman of Resolve
estrid,이스트리드,Estrid,,격노의 분출자,Hate's Contagion
falcia,페르샤,Falcia,,백염,Lucent Flame
fenris,펜리스,Fenris,,명사수의 표식,Sharpshooter Crest
glacius,그레시우스,Glacius,,황혼의 눈물,Tear of Twilight
guan-yu,관우,Guan Yu,"{""nameKr"": ""청룔언월도"", ""nameEn"": ""Green Crescent Blade"", ""krVerified"": true, ""source"": ""2026-09-18 Fastidious.gg 1순위 추천 + 사용자 한국 공식명 확인""}",청룔언월도,Green Crescent Blade
gwendolyn,그웬돌린,Gwendolyn,,즐거움의 보주,Euphoric Orb
harpun,하르벤,Harpun,,흡혼 부적,Spirit Siphon
isolde,이졸데,Isolde,,보루의 반지,Bastion Ring
jeera,젤라,Jeera,,미지의 땅의 열쇠,Key of the Forsaken
kane,케인,Kane,,리바이어던,Leviathan
khadgrim,카드그림,Khadgrim,,산악의심장,Heart of the Mountain
king-harz,킹 할츠,King Harz,"{""nameKr"": ""보루의 반지"", ""nameEn"": null, ""krVerified"": true, ""source"": ""user-provided-korean-server-screenshot""}",보루의 반지,Bastion Ring
krodor,크로돌,Krodor,,보루의 반지,Bastion Ring
lady-mina,미나,Lady Mina,,죽은자의속삭임,The Dawnbringer
lightlocke,라트로크,Lightlocke,"{""nameKr"": ""낙원의 찬가"", ""nameEn"": ""Elysian Epitaph"", ""krVerified"": true, ""source"": ""2026-09-18 Fastidious.gg 1순위 추천 + 사용자 한국 공식명 확인""}",낙원의 찬가,Elysian Epitaph
lu-bu,여포,Lu Bu,,방천화극,Halberd of Woe
lulu,루루,Lulu,,제이드드래곤,Jade Dragon
lynx,릴크스,Lynx,,사신의 표식,Reaper's Emblem
malvira,말비라,Malvira,,비탄의벽,Wall of Lament
marri,마리엘,Marri,,악몽 윤회,Nightmare Samsara
maul,모르,Maul,,명사수의 표식,Sharpshooter Crest
midan,미덴,Midan,,즐거움의 보주,Euphoric Orb
nocturne,녹턴,Nocturne,,영혼 약탈 석영,Mindflayer Quartz
olague,오라그,Olague,,보루의 반지,Bastion Ring
rhox,로크스,Rhox,,보루의 반지,Bastion Ring
rivenhald,레이븐홀드,Rivenhald,,서리척추,Frosthorn Staff
rork,로크,Rork,,포효의 머리뼈,Wailing Skull
sadie,사티,Sadie,,희미한빛,Whispering Grace
shamir,샤미르,Shamir,,황혼의 눈물,Tear of Twilight
solaris,솔라리스,Solaris,,황혼의 눈물,Tear of Twilight
su-yue,소설백,Su Yue,,상야,Moonfrost
valkyra,바크라,Valkyra,,세상의 눈물,Realm Tear
voroth,워로스,Voroth,,겨울의부름,Winter's Call
vortex,와엘,Vortex,,낙원의 찬가,Elysian Epitaph
