id,한국명,영문명,기존추천,최종추천,권장옵션,검수메모
abomination,증오,Abomination,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",기본 공격 비중과 생존형 전사 구조를 고려하면 마수의 포효가 가장 안정적인 엔드게임 조합입니다.
admiral-claw,크로우장군,Admiral Claw,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",재앙 드래곤 중첩을 유지할 수 있는 치명타율과 공격 속도를 우선합니다.
ares,아레스,Ares,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",기본 공격과 연속 타격 비중이 높아 마수의 포효가 엔드게임 핵심 세트입니다.
arrogance,오만,Arrogance,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",현재 Prospector와 Fastidious의 엔드게임 조합이 악의 복수 + 재앙 드래곤으로 일치합니다.
astrael,아스트레이,Astrael,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",재앙 드래곤 중첩을 안정적으로 유지하는 엔드게임 딜 세팅입니다.
azhor,아젤,Azhor,,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"방어력%, HP%, 공격 속도, 분노 회복",방어력 기반 수호자라 강철 의지의 피해 감소와 가드 방어 증가를 우선합니다.
baron,바론,Baron,,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",순수 탱킹에서는 최대 HP 추가보다 강철 의지의 피해 감소 효율이 안정적입니다.
bayek,바예크,Bayek,,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",Prospector의 2026-09 엔드게임 빌드에서 악의 복수 + 지옥 비명이 직접 확인됩니다.
daemon,디몽,Daemon,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",연속 기본 공격 기반이라 마수의 포효를 최종 추천으로 잡았습니다.
deimos,데모스,Deimos,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",연속 공격과 단일 대상 지속딜 구조 때문에 마수의 포효와 궁합이 좋습니다.
